John Abbink	m 
José João Abdalla	m 
Roberto Pinto Ferreira Mameri Abdenur	m 
Junji Abe	m 
Ibrahim Abi-Ackel	m 
Paulo Abi-Ackel	m 
Alarico Abib	m 
Carlos Augusto Abicalil	m 
Alberto Wadih Chames Aboud	m 
Marcos Roberto Abramo	m 
Cláudio Abramo	m 
Senor Abravanel	m 
Elias Abraão	m 
José Masci de Abreu	m 
Sílvio de Andrade Abreu	m 
Paulo Marcos Almada de Abreu	m 
Dorival Masci de Abreu	m 
Fernando de Abreu	m 
Hugo de Andrade Abreu	m 
João Batista de Abreu	m 
Anselmo de Jesus Abreu	m 
Vicente Miguel da Silva Abreu	m 
Francisco Gomes de Abreu	m 
Ovídio Xavier de Abreu	m 
Paulo Abreu	m 
Gil César Moreira de Abreu	m 
João Leitão de Abreu	m 
Kátia Regina de Abreu	m 
José Abrão	m 
Moisés Abrão	m 
Maurício Miguel Nasser Abrão	m 
Nicolas C. Accame	m 
Darci Accorsi	m 
Samir Achoa	m 
Otávio Monteiro Aché	m 
Átila Monteiro Aché	m 
Hildebrando Pompeu Pinto Acióli	m 
Elias Adaime	m 
Luís Inácio Lucena Adams	m 
Francisco Mendes Adeodato	m 
João Nogueira Adeodato	m 
Wanda Engel Aduan	f 
José Armando de Macedo Soares Afonseca	m 
Emiliano Estanislau Afonso	m 
Almino Monteiro Álvares Afonso	m 
Geraldo Magela Agnelo	m 
Oliveiros Guanais de Aguiar	m 
Elizeu Morais de Aguiar	m 
Nélson Alves Aguiar	m 
Wilson de Sousa Aguiar	m 
João Aguiar	m 
Marcelo Theodoro Aguiar	m 
Jefferson de Aguiar	m 
Ubiratan Diniz de Aguiar	m 
Francineto Luz de Aguiar	m 
Rafael de Sousa Aguiar	m 
Hugo Aguiar	m 
Anésio Frota Aguiar	m 
Francisco Lacerda de Aguiar	m 
Carlos Fernando Agustini	m 
Adolfo Cardoso Aires	m 
Jaeder Soares de Albergaria	m 
Bartolomeu Lisandro de Albernaz	m 
Nion Albernaz	m 
Armanda Álvaro Alberto	f 
Talvane Luís Gama Albuquerque	m 
Herectiano Zenaide Nóbrega de Albuquerque	m 
Artur Cavalcanti de Albuquerque	m 
Ernesto Miranda Sabóia de Albuquerque	m 
José Pessoa Cavalcanti de Albuquerque	m 
José Tinoco Machado de Albuquerque	m 
Pedro de Alcântara Cavalcanti de Albuquerque	m 
Plínio Cavalcanti de Albuquerque	m 
Luís de França Albuquerque	m 
Júlio Prestes de Albuquerque	m 
Augusto Cavalcanti de Albuquerque	m 
Teódulo Lins de Albuquerque	m 
Cândido Pessoa Cavalcanti de Albuquerque	m 
José de Jesus Lins de Albuquerque	m 
Edme Tavares de Albuquerque	m 
Luís Roberto de Albuquerque	m 
Etelvino Lins de Albuquerque	m 
Carlos César Silva de Albuquerque	m 
Marcos Cintra Cavalcanti de Albuquerque	m 
Ulisses Lins de Albuquerque	m 
Hermes Malta Lins de Albuquerque	m 
